"Test"," X"," Y"," Max Load"," Max Depth"," Hardness(GPa)"," Hardness(HV)"," Modulus"," Martens"
"Test 1","-4.7706351017492","0.0025201662912876","99.750879208816","3213.7749897993","0.44107992331729","41.679847353867","23.447915426639","0.36527869965515"
"Test 2","-4.2715826445871","0.0025201662912876","99.701871330707","1820.7559741679","1.5694894029683","148.30890113349","37.284101659458","1.1374658630506"
"Test 3","-3.770873227698","0.0025201662912876","99.33191523879","3802.864565167","0.38764160224353","36.630193204002","6.6481130607334","0.25977995720695"
"Test 4","-2.7711808070485","0.0026987607528749","99.446646782237","2030.5292119704","1.2246745795806","115.72562439746","32.84814893257","0.91224230659779"
"Test 5","-1.77146854257","0.0027086826674075","99.761579445903","273.91328929915","156.04574549881","14745.542720911","1888.860122448","50.289307949862"
"Test 6","-0.77116096321946","0.0027086826674075","99.85202376436","1717.1209919304","1.8412651326215","173.99034870707","37.080645178576","1.2808362946034"
"Test 7","0.22878942720787","0.0026987607528749","99.821926488387","752.58855245704","10.465643689975","988.95100048416","178.11045686168","6.6657539745256"
"Test 8","1.2284223163702","0.0027086826674075","99.837778565958","765.16453789426","10.717692444656","1012.7683475578","152.8477306708","6.4494664830818"
"Test 9","2.2288092710369","0.0027086826674075","99.541797652671","475.66213847442","42.766607074473","4041.2305355023","304.69629941842","16.639752436578"
"Test 10","3.2287100518916","0.0027086826674075","99.657775019633","564.54661527631","29.275838013533","2766.4203130888","203.70549346566","11.826333452147"
"Test 11","4.2285016916864","0.0027086826674075","99.488377714889","748.37024704112","14.098032906845","1332.1936195323","119.32234571541","6.718585874612"
"Test 12","5.2287398176352","0.0027086826674075","99.821938994226","964.60938531648","6.2130276095562","587.10004396501","107.44398851939","4.0575285513475"
"Test 13","-3.7708633057835","-0.99684483117862","99.705811234483","654.11248249912","17.167338120028","1622.2276156521","174.84113597332","8.8136164452964"
"Test 14","-2.7711808070485","-0.99700358181115","99.661787295894","564.70240587495","25.5736002272","2416.5773534693","223.70042592819","11.820284905554"
"Test 15","-1.7715776836298","-0.99699365989661","99.418539064065","2296.056288895","0.92731099044648","87.62625204224","29.305551126136","0.71324849605939"
"Test 16","-0.77120065087759","-0.99700358181115","99.761586788034","810.83569176069","9.9730020675191","942.39883037022","124.34838939425","5.7389994438135"
"Test 17","0.22874973954974","-0.99700358181115","99.781597823236","636.53823107424","21.615083180353","2042.5172851275","160.1197085618","9.3140811507871"
"Test 18","1.2284421601992","-0.99701350372568","99.527523731176","1072.9424491382","5.6333681951852","532.32512760403","68.251341638819","3.2698579966553"
"Test 19","2.2287993491224","-0.99701350372568","99.530857948969","521.49216219603","29.549405700627","2792.2710916807","275.25987268015","13.842059947368"
"Test 20","3.2286703642335","-0.99700358181115","99.624358452203","739.01955984106","16.649669141213","1573.3104854989","111.41729085728","6.8990965157095"
"Test 21","4.2284818478574","-0.99701350372568","99.720755065462","876.61388056957","6.5915339930897","622.86700467701","204.66028212343","4.9080324016874"
"Test 22","5.2286505204044","-0.99701350372568","99.711589980522","1873.7861048039","1.4274551703167","134.88737631908","40.541970577073","1.0740986296388"
"Test 23","-3.7709526030143","-1.9970631132983","99.54623609561","774.715147461","12.908809628733","1219.8179658671","112.47566389099","6.2730579265513"
"Test 24","-2.7712701042793","-1.997112722871","99.814536667667","558.94154703606","29.029358217802","2743.1292047912","212.78530239044","12.083689551809"
"Test 25","-1.7716669808606","-1.997112722871","99.632508869919","1409.6825662745","2.9099670964033","274.97734077463","47.371035108844","1.8962559570075"
"Test 26","-0.77128002619385","-1.9971424886146","99.541434660638","694.41137212919","16.117482614001","1523.02151961","143.36060936363","7.8074425275301"
"Test 27","0.22868028614801","-1.9971325667001","99.818909354103","1050.083681042","6.8025309647095","642.80516351022","60.410571188017","3.4237618695746"
"Test 28","1.228362784883","-1.9971623324437","99.883947860883","853.85733679356","10.238973323816","967.53178423399","94.742554639931","5.181596844237"
"Test 29","2.2287100518916","-1.9971524105291","99.706908359538","1943.699857918","1.2983561797105","122.68816720175","41.384498722686","0.9981720237547"
"Test 30","3.2285909889172","-1.9971424886146","99.698669594121","667.02667387987","17.972495070612","1698.3109216975","153.74235473233","8.4750351765872"
"Test 31","4.2284024725411","-1.9971424886146","99.590983678463","1447.5102564532","2.2933533992067","216.71042945804","85.332051013916","1.7976919426863"
"Test 32","5.2285909889172","-1.9971722543582","99.789213636554","1009.7594164598","5.6148562308161","530.57583953097","99.323999755279","3.7015730605222"
"Test 33","-3.771022056416","-2.9971920981873","99.703520326315","937.65099684645","7.9718735347439","753.30218966563","82.511820111546","4.2891042523813"
"Test 34","-2.7713494795956","-2.9971920981873","99.692798546907","550.80264564158","29.624368090008","2799.3546626653","221.22859681325","12.428259180648"
"Test 35","-1.7717265123478","-2.9972020201018","99.501994394092","911.53305072225","7.5489139225888","713.33462111503","102.32818366231","4.5292416747796"
"Test 36","-0.77133955768105","-2.9972020201018","99.93273741127","1778.5870586204","1.7871060633516","168.87258745641","31.116945868748","1.1948023750867"
"Test 37","0.22861083274629","-2.9972119420163","99.578906911706","610.95931633923","26.733339283241","2526.1668955699","163.36730647397","10.089771258382"
"Test 38","1.2282933314812","-2.9972020201018","99.883915426387","1720.3383193035","1.6662692456199","157.45411236485","52.604837516602","1.2764575644341"
"Test 39","2.2286505204044","-2.9972020201018","99.933754418289","1604.2288203599","2.4181856486685","228.50645287093","31.745584423124","1.4686493735788"
"Test 40","3.2284223163702","-2.9972020201018","99.841054127337","485.85861827115","49.975321404086","4722.4179960791","268.2706720519","15.996607369824"
"Test 41","4.2282040342505","-2.9972020201018","99.796174224647","819.48580555692","9.8781231381917","933.43324594343","119.44757171921","5.6204303560822"
"Test 42","5.2283925506266","-2.9972020201018","99.613040346043","3440.5640559654","0.36197089808915","34.204440014934","42.777562740771","0.31826981306308"
"Test 43","-3.7712105727921","-3.9971325667001","99.62368579948","566.24888156076","32.466573000244","3067.928815658","191.87299897757","11.751314248572"
"Test 44","-2.7715479178862","-3.9971524105291","100.11895111471","520.65760615141","26.982584303484","2549.7193037577","310.4690830375","13.96852038008"
"Test 45","-1.7718554972367","-3.9971623324437","99.85907310356","867.74327982589","10.880052748357","1028.110584456","84.323647172512","5.015838698215"
"Test 46","-0.77154791788624","-3.9971623324437","99.453620118201","2924.2571883895","0.61524826620516","58.137884915056","13.496432279943","0.43987371683985"
"Test 47","0.22844216019923","-3.9971623324437","99.646136925392","675.91029332587","17.407060402464","1644.8801727309","149.70172726225","8.2493721328916"
